Genome	EHI00077	EHI00107	EHI00529	EHI00435	EHI00182	EHI00080	EHI00451	EHI00484	EHI00493	EHI00512	EHI00538	EHI00176	EHI00524	EHI00527	EHI00126	EHI00177	EHI00070	EHI00133	EHI00102	EHI00438	EHI00097	EHI00117	EHI00525	EHI00112	EHI00124	EHI00134	EHI00111	EHI00181	EHI00472	EHI00113	EHI00480	EHI00129	EHI00069	EHI00085	EHI00103	EHI00104	EHI00518	EHI00499	EHI00464	EHI00422	EHI00470	EHI00507	EHI00462	EHI00108	EHI00456	EHI00541	EHI00441	EHI00537	EHI00121	EHI00088	EHI00125	EHI00467	EHI00547	EHI00504	EHI00178	EHI00433	EHI00473	EHI00426	EHI00130	EHI00138	EHI00110	EHI00490	EHI00569	EHI00095	EHI00496	EHI00568	EHI00089	EHI00137	EHI00428	EHI00131	EHI00139	EHI00119	EHI00180	EHI00465	EHI00092	EHI00114	EHI00076	EHI00514	EHI00073	EHI00098	EHI00506	EHI00567	EHI00483	EHI00122	EHI00458	EHI00074	EHI00566	EHI00481	EHI00086	EHI00100	EHI00116	EHI00093	EHI00479	EHI00128	EHI00105	EHI00081	EHI00075	EHI00536	EHI00115	EHI00477	EHI00106	EHI00120	EHI00091	EHI00079	EHI00072	EHI00179	EHI00101	EHI00488	EHI00118
EHA01453_bin.10	0.44415984	0.37669012	0.115785174	0.064691044	0	0.8210888	0.7559562	0.5368698	0.4941599	0.2533027	0.26654902	0.87020105	0.013210773	0.85608447	0.016233148	0.39032367	0.5146293	0.000332827	0.033655427	0.18183339	0.09038716	0.046700593	0.052829895	0.14909269	0.10508757	0.18000606	0.14447054	0.598176	0.14174248	0.025935767	0.38382652	0.51804644	0.556121	0.6200963	0.50023264	0.25178018	0.323756	0.41033694	0.9663904	0.14316912	0.44561395	0.84435415	0.5033218	0.004580417	0.31766602	0.7712673	0.8101381	0.5772378	0.6336095	0.035938904	0.22345297	0.84872913	0.9967835	0.5968057	0.2649643	0.052234523	0.5783526	0.52569824	0.1769468	0.021807468	0.000430306	0.42853338	0.36953163	0.057270017	0.5494133	0.070541106	0.012011409	0.2721648	0.100427724	0.5010631	0.061567422	0.13485113	0.049243923	0.012200711	0.03487041	0.29769772	0.6241228	0.07428811	0.04607829	0.24607931	0.6140028	0.47178748	0.33372548	0.83398587	0.46394637	0.78054416	0.81990397	0.5587658	0.751711	0.5322315	0.010941568	0.109397635	0.6995198	0.03445545	0.01576245	0.5941441	0.023430675	0.29904115	0.2191141	0.63195264	0.253478	0.24557145	0.29934597	0.06466654	0.18124017	0.17763668	0.066642776	0.2597492	0.40657565
EHA01453_bin.100	4.8030863e-05	0.001962822	0	0	6.169818e-05	0.00127067	0	2.928711e-05	0.000423882	0.000304391	0.000554503	0.003160665	0.000608	0.000559774	2.928711e-05	0.000104262	0	0.14892145	0.005710791	0	5.9940954e-05	0.000275104	0.000526387	0.004015458	5.857422e-05	0.000415096	0.00101802	0	0.001543821	0.002277366	0.000272175	0.001989181	0.000113048	0.001715053	0.000241521	0.000385418	0.00242263	0.007707587	0.000633187	0.000104457	0.000354179	0.000307515	0.003614615	0.001139659	0.000109339	0.001911863	8.7666085e-05	0.000485971	0	0.000101919	0.000134916	0.18946359	0.4341777	0.00901633	0.000426616	5.3107295e-05	0.001859536	0.004032054	0.001497157	0	0.023977162	2.928711e-05	0.000372337	0.001994452	7.5170254e-05	0.000348517	0.000134721	0.000288771	0.000114805	0.000311029	0.000101333	0.000593357	0.001106077	2.6748894e-05	0.005805682	0.000142726	0.000222192	0.04321235	2.1477215e-05	0.002243198	0.000632992	0.000366479	0.001802719	0.001026025	0.001363998	0.000366479	0.001164456	0.000742135	0.048722234	0.00020911	0.06381466	0.003075147	0.001717591	0.001365365	0.000892671	0.000200324	1.3081576e-05	0.050463255	0.000984437	0.002437273	0.000457465	0.000208134	0	0.000761074	0	0.00021692	1.4838803e-05	0.99530256	0
EHA01453_bin.101	0.016117627	0.15001631	0.4010473	0.001516702	0	0.02640933	0.31278685	0.07638066	0.029545046	0.014968013	0.06627531	0.02270499	0.015961627	0.28279993	0.019012738	0.07439146	0.04237405	0	0.027621342	0.62324154	0.01795813	0.4569927	0.042696446	0.20335945	0.014445206	0.043975353	0.009301182	0.043827508	0.023347257	0.5522641	0.03483439	0.20108075	0.003881137	0.19570118	0.016463634	0.11953667	0.09724852	0.45180735	0.3711284	0.048144035	0.6232849	0.040034067	0.13093077	0.019780645	0.30032408	0.005314921	0.24187738	0.055377603	0.031507537	0.19700707	0.020833287	0.53726375	0.49676535	0.08595111	0.013679267	0.07862254	0.13471183	0.4146054	0.025530959	0.054251317	1.7989049e-05	0.039259695	0.4886554	0.043884568	0.10213142	0.13699195	0.03470931	0.1323921	0.35852343	0.07223587	0.11112988	0.078676514	0.3391998	0.002653947	0.023286825	0.2968356	0.081201166	0.5190074	0.17374526	0.17971566	0.4865633	0.007812588	0.37144688	0.098100185	0.123821154	0.06960694	0.050702415	0.1642254	0.09008326	0.1358443	0.058483522	0.15657613	0.72509784	0.21180025	0.076172665	0.026931856	0.016686529	0.5403697	0.15974669	0.08672886	0.02472117	0.098791644	0.013807438	0.030504087	0.045035023	0.039960988	0.20011047	0.84991115	0.12436701
EHA01453_bin.105	0.00024444	3.857294e-05	0.000416068	0	0	0.000792696	0.001309746	0.000133488	0.000843404	0.000742854	0.000201966	8.7980974e-05	0.001101279	0.001269006	0.000160359	0.000456374	0.000390063	0	4.334038e-05	0.00098556	0.000381395	0.000234471	0.001207463	0.00016166	0.000389197	0.000794429	0	0.000336321	0.000744154	0.000622801	0	0.00026741	0.000262209	3.4672306e-05	6.501057e-05	0	0.000806131	0.000594197	0.001148954	0	0.001532516	0.000700381	0.000228837	3.4238903e-05	3.3372093e-05	0.000224503	0	3.9439747e-05	0.000349323	0	0.000406966	0.00010185	0.998126	6.934461e-05	2.947146e-05	0.000677844	0.000304683	0.000273911	4.6374207e-05	0.000132188	0	0	0	3.3372093e-05	0.000386596	0.000102283	3.9439747e-05	0.0004126	0.000667442	0.000263943	0.000178562	0.000298182	0.000107918	0.000441639	3.4672306e-05	0.000796596	0	0.000812632	0.000325053	3.5972516e-05	0.000855973	0.000495381	0.000784461	3.9439747e-05	0.000364059	0.000602865	0.000662674	0	0.000614133	0.000305983	0.000945254	0.000224937	0.00065314	6.0676535e-05	2.817125e-05	0.000917083	0.000130021	0.000552157	0.000292981	0.000195465	2.6004229e-05	0.000442505	0	0.000300349	0	0.000790962	4.334038e-05	0.001697209	0.000908414
EHA01453_bin.106	0.06599885	0.22482337	0.28629988	0.014681067	4.4841912e-05	0.23470053	0.39880913	0.043244492	0.15942465	0.043828603	0.2139064	0.007787352	0.060366824	0.03620344	0.03968655	0.43475166	0.123710394	8.7354376e-05	0.23102088	0.71837413	0.14464457	0.22930554	0.1117906	0.014844129	0.01547541	0.1497787	0.031908516	0.1644484	0.01754367	0.40309414	0.08603882	0.2868246	0.26972672	0.28888354	0.01391497	0.111828744	0.22616485	0.99207115	0.08626216	0.42885992	0.21525195	0.23565474	0.30160728	0.3002798	0.09369951	0.6187095	0.70760685	0.086497135	0.002548127	0.046540372	0.031932976	0.07234311	0.9857353	0.02595415	0.006511977	0.306666	0.32910383	0.45809102	0.031519204	0.05529736	7.250413e-05	0.08782201	0.10108561	0.21099256	0.39164227	0.07971902	0.281132	0.22699675	0.41757256	0.11202645	0.06812593	0.08817842	0.1653499	0.00287425	0.026058976	0.14745331	0.19077468	0.36332956	0.23408672	0.08437093	0.5275628	0.011326951	0.2221841	0.14085922	0.32091755	0.31773844	0.3640386	0.2610865	0.26561525	0.2009139	0.014580902	0.08520517	0.63602984	0.05746637	0.05666067	0.08287397	0.0835201	0.5130468	0.4056344	0.1699197	0.03635427	0.102144055	0.011798373	0.053304806	0.08491719	0.00561281	0.08095305	0.5930934	0.39755502
EHA01453_bin.107	0.003116745	0.011584837	0.026107777	0.00047427	0	0.008550298	0.013340427	0.009093338	0.008416712	0.002870124	0.013626569	0.011523972	0.013960139	0.001935812	0.006054057	0.015621665	0.007370947	0.000237135	0.001484465	0.008254671	0.008336877	0.06083462	0.02448024	0.02168916	0.004315067	0.046284016	0.016070642	0.00184333	0.007653138	0.03631486	0.04228671	0.021466253	0.002516003	0.003764914	0.005846169	0.003685869	0.005164801	0.005713373	0.007138555	0.020461591	0.9870651	0.02040468	0.01252073	0.001655203	0.003356251	0.00105446	0.006526746	0.012294661	0.001818035	0.040855993	0.029816568	0.5378989	0.014045508	0.016084079	0.003209228	0.007029473	0.01661131	0.037539266	0.020871835	0.000837877	0	0.03923478	0.018441992	0.002104969	0.01259108	0.02451502	0.012692257	0	0.010365172	0.004755348	0.007523504	0.008459397	0.001143781	0	0.001823568	0.014008356	0.000384159	0.003829731	0.006700646	0.020976964	0.005458849	0.013396548	0.015933102	0.00230021	0.034674674	0.006880078	0.002114454	0.023862898	0.006543346	0.010437103	0.000118568	0.023300098	0.010639458	0.01817798	0.026205793	0.00421389	0.013523811	0.006997855	0.001970592	0.03394825	0.009065672	0.006809728	0.00646351	0.007385966	0.015074674	0.029264044	0.019934362	0.015309437	0.000320923
EHA01453_bin.11	0.009209556	0.005511853	0.010719072	0.00011929	0	0.014918738	0.018471787	0.012285167	0.001932883	0.007315971	0.006650401	0.002428995	0.013281849	0.012827266	0.00532623	0.00928007	0.010312985	0.0030522	0.000105633	0.013973061	0.009658564	0.013160051	0.42218578	0.013324493	0.003484207	0.007031404	0.007299248	0.006143141	0.011112895	0.005745137	0.006227313	0.009902439	0.006284449	0.002246158	0.004038012	0.00708631	0.01799463	0.22962515	0.014375524	0.003077006	0.99143845	0.010716842	0.013206875	0.010446768	0.005958911	0.014458302	0.011731919	0.002691822	0.008592203	0.003672618	0.002972488	0.005498475	0.003961923	0.006850518	0.014947167	0.012575866	0.013514854	0.004942718	0.003992861	0.015467526	0	0.008811273	0.048833247	0.005359954	0.007640673	0.004471691	0.008131768	0.009223491	0.015267409	0.0057011	0.009560735	0.007540057	0.005406499	0.010391025	0.004326203	0.003362966	0.003814205	0.017063165	0.009045672	0.009436707	0.011300748	0.009697584	0.012192076	0.006308976	0.008116995	0.015506825	0.01664788	0.006940542	0.009728243	0.01094065	0.014401166	0.005445241	0.012531829	0.008363936	0.002461326	0.008166049	0.008158245	0.016227858	0.010629605	0.011556608	0.000848406	0.01130911	0.009104759	0.00618662	0.012063589	0.005869165	0.005045285	0.8188469	0.016237335
EHA01453_bin.112	0.9724773	0.003515974	0.000945647	0	0.000551975	0.35654333	0.004529316	0.9430862	0.000664453	0.000618628	0.000510316	0.000159344	0.9487184	0.9883325	0	0.000156219	0.002085006	0.000255158	0	0.000733189	0.000798801	0.000449911	0.000702987	0.000543643	0.000384299	0.002773412	0.000417626	0.000262448	0.98975307	0.000514482	0.9396952	0.001849636	0.000507192	0	0.000171841	0.001354942	0.4376305	0.002322459	0.000804008	0.000346807	0.67898613	0.002052721	0.000888367	0.00022808	0.000355138	0.000186422	0.000700904	0.000630084	0.96433824	0.00048428	0.000248909	0.000672784	0.00121851	0.001818392	0.001144566	0.008554566	0.000731106	0.001241422	0.95461625	0.000242661	0.000269739	0.001863175	0.000583219	0.000324936	0.003527431	0.000533228	0.000179131	0.000156219	0.000167675	0.8805412	0.9560628	0.000355138	0.000181214	0.9995157	0.966743	0.95640856	0.000993554	0.000109353	0.000193712	0.000580094	0.000601965	0.000857123	0.8782	0.000330143	0.9642039	0.000364512	0.001500746	0.000425958	0.000530104	0.000165592	0.000303065	0.001100825	0.000223914	0.000245785	0.000386382	0.000333268	0.9705714	0.9211145	0.000588426	0.00115394	0.00026349	0.000221831	0.000242661	0.000193712	0.000574887	0.000813382	0.000115602	0.99993545	0.96547556
EHA01453_bin.113	0.0617327	0.008658018	0.19148682	0	0	0.1253363	0.22378479	0.012482835	0.004671285	0.086906396	0.113857746	0.002895343	0.23529339	0.2596975	0.022768885	0.15244375	0.07121874	0.001356466	0.010567523	0.084136076	0.19431555	0.007440921	0.019842457	0.13558887	0.16091628	0.11164559	0.017181447	0.14677161	0.1843301	0.18645413	0.007840244	0.006612217	0.009417038	0.003855903	0.002781251	0.003665294	0.21402308	0.00290969	0.037907604	0.004419189	0.9993438	0.18944068	0.3154318	0.07270808	0.017992388	0.1965622	0.004671285	0.004117562	0.052745726	0.0053005	0.16644873	0.007934182	0.014475348	0.009072028	0.23751716	0.047073916	0.21797496	0.010274095	0.10004031	0.19251502	0	0.1800824	0.010760522	0.004620388	0.1956669	0.005058651	0.00380603	0.18855731	0.1983583	0.1832814	0.066353425	0.11622396	0.18607427	0.068651326	0.013447835	0.009252048	0.005483252	0.23429696	0.15574253	0.1855571	0.24942647	0.105126284	0.17284267	0.4476956	0.20554167	0.1561053	0.21360804	0.19431555	0.004126444	0.071688086	0.020964932	0.53483564	0.22543092	0.20727524	0.18830965	0.20344155	0.21450575	0.24351759	0.17818142	0.06408935	0.11121245	0.21685591	0.017614929	0.003313111	0.24502948	0.14499122	0.00587096	0.010403558	0.23405717
EHA01453_bin.116	0.008447199	0.032410912	0.015374927	0.00422878	0	0.019316452	0.2648456	0.07969319	0.2611628	0.012265345	0.07841168	0.70251334	0.29098368	0.009932453	0.002301812	0.37859008	0.35067603	0	0.001384478	0.01698199	0.004379785	0.06669793	0.23168565	0.7259368	0.6108822	0.78742075	0.69268954	0.0103186	0.013071858	0.004285917	0.22397432	0.5306541	0.00162684	0.005277341	0.2997103	0.13930234	0.01994653	0.008549544	0.07727459	0.19464223	0.96795076	0.005533831	0.33692732	0.13928163	0.088911116	0.002578394	0.003738719	0.10230319	0.27580842	0.036264535	0.30139962	0.040862195	0.010440408	0.31786358	0.30956239	0.011751738	0.62985903	0.12384234	0.45569575	0.004136481	4.709109e-05	0.5337813	0.45633212	0.082331866	0.009398126	0.63774616	0.037014224	0.003888782	0.013235736	0.005575585	0.42934203	0.29174247	0.002360833	0.001933874	0.003134069	0.5411573	0.006626658	0.002807257	0.011147088	0.3525669	0.025887227	0.62943333	0.24745709	0.20553471	0.42186803	0.09163455	0.007669883	0.006270649	0.49503314	0.005003585	0.008242196	0.16710807	0.05939819	0.017628707	0.01024859	0.006580823	0.033579085	0.07282511	0.0005067	0.2271109	0.11928769	0.12766363	0.014499033	0.005435881	0.33097345	0.22985412	0.047419786	0.049500898	0.005013317
