Genome	EHI00077	EHI00107	EHI00529	EHI00435	EHI00182	EHI00080	EHI00451	EHI00484	EHI00493	EHI00512	EHI00538	EHI00176	EHI00524	EHI00527	EHI00126	EHI00177	EHI00070	EHI00133	EHI00102	EHI00438	EHI00097	EHI00117	EHI00525	EHI00112	EHI00124	EHI00134	EHI00111	EHI00181	EHI00472	EHI00113	EHI00480	EHI00129	EHI00069	EHI00085	EHI00103	EHI00104	EHI00518	EHI00499	EHI00464	EHI00422	EHI00470	EHI00507	EHI00462	EHI00108	EHI00456	EHI00541	EHI00441	EHI00537	EHI00121	EHI00088	EHI00125	EHI00467	EHI00547	EHI00504	EHI00178	EHI00433	EHI00473	EHI00426	EHI00130	EHI00138	EHI00110	EHI00490	EHI00569	EHI00095	EHI00496	EHI00568	EHI00089	EHI00137	EHI00428	EHI00131	EHI00139	EHI00119	EHI00180	EHI00465	EHI00092	EHI00114	EHI00076	EHI00514	EHI00073	EHI00098	EHI00506	EHI00567	EHI00483	EHI00122	EHI00458	EHI00074	EHI00566	EHI00481	EHI00086	EHI00100	EHI00116	EHI00093	EHI00479	EHI00128	EHI00105	EHI00081	EHI00075	EHI00536	EHI00115	EHI00477	EHI00106	EHI00120	EHI00091	EHI00079	EHI00072	EHI00179	EHI00101	EHI00488	EHI00118
EHA01453_bin.10	24744	59630	6523	96479	0	93406	71116	35910	31185	11601	12285	138070	1128	245135	1066	21949	34071	43	1408	8955	5917	3675	3789	6718	5201	13779	9502	40977	6530	2727	27688	46419	42814	54368	28342	11783	17767	27566	461287	7537	34533	162941	32293	218	16177	100750	146259	38826	42152	2490	15197	90336	435230	45791	12559	3429	40857	65162	9789	1610	20	24987	20705	2702	35843	4071	2352	14843	6241	32672	3005	7237	2471	904	6149	16676	77492	5846	2219	23414	55129	29983	16997	250725	29598	149660	192548	42642	114234	37408	1531	4975	184364	2111	1655	45217	1281	17789	10513	48136	32982	16300	20234	2647	9073	8536	3429	12187	24091
EHA01453_bin.100	6	109	0	0	8	79	0	1	31	21	45	230	39	34	1	5	0	11529	482	0	10	13	29	311	2	38	87	0	96	175	20	186	5	124	14	25	189	1064	46	15	22	42	251	105	10	107	5	19	0	8	10	12607	39042	642	28	4	149	500	90	0	4213	3	18	138	6	19	12	19	8	21	4	41	69	4	585	10	11	2425	2	166	40	17	128	68	104	32	79	68	3271	16	3596	244	364	71	48	8	2	2808	49	156	69	10	0	48	0	17	2	360530	0
EHA01453_bin.101	677	7038	39853	1117	0	1086	19243	3205	1304	542	2524	1062	708	16905	928	3731	1651	0	1047	118762	1514	45810	2103	11094	747	2322	985	2125	986	126495	2871	9675	321	15119	659	5159	4295	27718	21060	1938	85820	3369	5619	908	15687	2296	12079	2075	1326	9050	1246	34175	32084	4188	560	3782	5744	39177	1325	2902	2	2115	42148	2222	5941	6904	3121	15314	23320	2954	4574	3991	27550	147	1122	19519	4604	61149	7849	8101	62886	786	35805	8019	6429	3531	2567	7547	3742	7948	3541	8054	577727	9884	4290	1207	766	62889	8739	4115	2623	9213	723	1183	2515	1569	11273	139469	5470
EHA01453_bin.105	5	2	12	0	0	31	94	8	69	31	4	4	218	74	4	10	6	0	133	47	16	7	36	4	12	29	0	9	24	23	0	9	18	10	1	0	46	329	73	0	360	37	15	6	6	11	0	16	7	0	13	7	835210	25	2	46	16	19	5	3	0	0	0	4	12	15	6	18	39	12	10	31	14	11	1	46	0	31	11	2	75	35	61	1	20	29	66	0	24	8	106	6	29	2	2	32	2	30	46	7	4	43	0	16	0	51	21	220	71
EHA01453_bin.106	2528	12612	20599	10465	4	11933	32907	4349	6327	1688	9526	298	2326	2076	1369	42489	5608	2	14266	262401	10892	14282	4471	3061	705	7162	1314	7999	638	42232	4890	14543	14021	19499	557	4520	11487	1900669	5809	33127	11741	12877	26465	22359	4824	85670	167425	3758	107	1783	1213	3242	289512	972	208	15731	25330	84146	1206	1968	6	3418	4551	11518	33718	3489	13858	15092	27811	4619	2550	3205	8929	149	25213	6442	8353	73259	12091	3290	275808	499	11171	6357	20900	26986	21482	13562	17928	10827	908	3569	520863	2146	2480	3218	3057	70031	49151	7992	2621	4628	524	2554	3845	174	3473	93626	29759
EHA01453_bin.107	48	244	616	114	0	749	201	1135	3132	40	276	636	15672	50	1451	620	113	2	44	376	187	2036	530	556	111	3898	1739	23	10617	1013	1768	1467	39	429	168	53	92	129	291	354	71310	502	1376	25	47	30	133	2379	30	1378	1390	10508	249	528	47	166	3236	1473	528	9	0	1185	30714	40	6007	579	240	0	212	168	177	147	19	0	23	490	5	225	394	6261	127	6653	287	31	5468	248	43	447	398	183	1	4060	411	1739	1745	530	1004	112	32	4723	358	111	88	1931	425	1401	335	487	4
EHA01453_bin.11	623	1335	2004	30	0	1970	3482	5445	143	395	848	218	4738	2444	370	1033	831	2027	3	2283	1186	8115	26195	2493	509	1330	504	590	1059	1101	1381	1166	954	586	230	577	4138	12576	1821	580	319370	2855	13828	2479	1008	2132	6697	306	529	606	742	736	266	4458	2959	2647	1819	455	491	3252	0	1991	2748	463	2020	1281	828	1205	2173	377	1035	552	382	1347	237	884	1050	3305	803	1244	7824	1899	2772	1505	1184	2057	2747	1709	1132	1402	3441	650	4924	1014	723	532	891	9088	1124	2454	112	1413	3136	603	1279	536	2001	73210	2256
EHA01453_bin.112	84621	418	39	0	28	4692	85	148525	30	16	20	3	481595	555583	0	1	22	5	0	9	15	15	22	17	55	47	39	13	663463	26	73348	44	19	0	6	22	5480	41	17	6	14388	35	33	7	7	7	50	9	78326	10	14	15	32	63	28	166	18	55	283935	11	6	107	49	4	279	14	9	3	6	24697	477763	13	2	557038	119835	437046	38	2	4	26	18	34	20424	18	120069	22	89	16	15	2	2	44	3	14	15	3	294191	38239	20	42	11	2	13	2	21	20	2	296538	139932
EHA01453_bin.113	3120	1220	57233	0	0	6834	39801	3226	433	4579	8543	637	106224	102907	1055	13046	3403	150	371	30827	41997	1515	1976	8166	11225	6708	815	11886	23360	45680	1234	1191	1552	1293	212	445	45532	310	3886	488	1598949	49377	22452	30500	4241	150889	1075	446	2031	785	15893	1804	2565	1467	79853	5334	21583	1240	4958	40825	0	34110	1736	1130	131916	1099	312	40444	33436	14261	3205	6637	23582	7989	489	1794	827	229412	9488	14973	434935	5854	26284	311826	23451	10934	26504	223081	814	16535	6831	29146	97518	38685	98808	15858	27394	262909	17277	6672	14657	149303	2123	508	107484	9535	846	2226	50676
EHA01453_bin.116	412	3093	2892	2784	0	6700	12558	3568	12829	1164	2960	74245	27381	1231	1730	28870	18389	0	94	893	307	3109	11502	86433	75453	201027	143199	418	4761	575	11987	35545	307	318	13874	4949	3109	462	3999	8680	157526	708	26197	5354	3163	442	1075	6506	12871	1615	14986	2498	916	16856	15768	908	54338	6621	32578	1731	1	101436	58232	2943	6296	63472	1331	1539	714	286	38044	13789	124	120	111	58308	365	204	725	21572	1438	92900	12169	8553	28519	4055	1879	1864	34947	381	411	9878	3831	4313	1241	585	9709	2648	19	25919	7789	4732	4382	1699	20453	11574	2173	1717	2619
