EHI_number,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C,Transect,Sampling_point,Elevation
EHI00072,ABK12E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.7373,-0.589984,0.6098,35265772,527460,0.028294807551476064,4993871498,78319449,0.068279902,18.95712563,0.860509873,Aisa,Cleta,1450
EHI00073,ABL01E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.5981,0.763111,0.5760000000000001,17296132,50116,0.020585442622237937,2491173198,7300164,0.056806003,19.22261268,0.777554062,Aran,Embalse1,1500
EHI00075,ABK18E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.7373,-0.589984,0.6037,26811026,2898518,0.034221472170541056,3449546649,444390387,0.064891989,18.87743386,0.844809592,Aisa,Cleta,1450
EHI00076,ABI40E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.7889,-0.597015,0.6158,37084126,540936,0.019402978049604336,5256239320,81391903,0.059064557,18.85558739,0.922172899,Aisa,Dolmen,1850
EHI00079,ABL19E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.5058,0.718685,0.467,28540588,18228964,0.034187698,1373801946,2721037061,0.076205463,19.06827829,0.710681265,Aran,Presa1,1080
EHI00081,ABK88E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.5981,0.763111,0.5253,18098526,4787646,0.045193259,1897409703,727448090,0.076819142,18.72420067,0.786674905,Aran,Embalse1,1500
EHI00085,ABL25E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.5058,0.718685,0.5772999999999999,18818378,1445814,0.03890208,2494742094,212261834,0.078313819,18.22921235,0.884176555,Aran,Presa1,1080
EHI00086,ABK90E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.5981,0.763111,0.522,22681308,2767528,0.051211622,2821121298,417593612,0.096802511,18.83583021,0.842366731,Aran,Embalse1,1500
EHI00088,ABK71E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.71173,-0.606746,0.6577,25127798,476216,0.025895766,3569734521,71769210,0.05888976,18.28209339,0.889279809,Aisa,Rest,1250
EHI00089,ABI56E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.7889,-0.597015,0.5958,17349180,233090,0.030412290415247956,2473897563,34915171,0.065272252,16.83726015,0.875590921,Aisa,Dolmen,1850
EHI00091,ABI58E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.7889,-0.597015,0.5731,24634366,1582390,0.030216224634393773,3317973426,230039482,0.068833257,18.77625853,0.856355464,Aisa,Dolmen,1850
EHI00097,ABK46E1L1I1,Podarcis muralis,Aragon,Faecal,Squamata,Male,Spain,42.775299,-0.593873,0.5921,29412092,2639232,0.053846127,3771419701,366551383,0.11257420495968973,18.41187606,0.8894739,Aisa,Bifurcation,1650
