phylum	colors
p__Spirochaetota	#CCCCCC
p__JAGOBX01	#CAC8C9
p__T1SED10-198M	#C8C5C5
p__AUK180	#C5BDBD
p__Dependentiae	#C3B9B9
p__UBA8481	#C1B6B6
p__Lindowbacteria	#BFB2B2
p__T1Sed10-126	#BEAEAE
p__Planctomycetota	#BCAAAB
p__Chlamydiota	#B9A7A7
p__Verrucomicrobiota	#B69F9F
p__Sumerlaeota	#B29999
p__OLB16	#AF9191
p__Abyssobacteria	#AD8D8D
p__Hydrogenedentota	#A98686
p__UBP4	#A88282
p__Poribacteria	#A57E7E
p__RBG-13-66-14	#A47B7B
p__Fermentibacterota	#A07373
p__Fibrobacterota	#9E706F
p__JAGOEH01	#9C6B6C
p__AABM5-125-24	#9A6868
p__Delongbacteria	#986464
p__Calditrichota	#966161
p__KSB1	#955D5D
p__JdFR-76	#93595A
p__QNDG01	#915555
p__BS750m-G25	#8F5252
p__SM23-31	#8E4F4E
p__CLD3	#8C4B4A
p__Bacteroidota	#8A4746
p__Marinisomatota	#884343
p__Cloacimonadota	#86403F
p__UBP14	#843C3C
p__JAFGND01	#803435
p__WOR-3	#7B2929
p__TA06_A	#792626
p__JAAXHH01	#772221
p__Latescibacterota	#761E1E
p__JAGLTZ01	#731A1A
p__Zixibacteria	#721616
p__VGIX01	#6C0D0D
p__JABDJQ01	#680808
p__ARS69	#6E0808
p__JAGLYR01	#780808
p__Eisenbacteria	#870808
p__Krumholzibacteriota	#8F0808
p__GCA-2686955	#9F0808
p__Gemmatimonadota	#A70808
p__4572-55	#AF0808
p__Edwardsbacteria	#B60808
p__TA06	#BE0808
p__Acidobacteriota	#C80808
p__B130-G9	#D10908
p__CSSED10-310	#D50C08
p__Campylobacterota	#DB1C08
p__Aquificota	#DD2508
p__Thermosulfidibacterota	#DE2E08
p__Chrysiogenota	#DF3708
p__Deferribacterota	#DF3F08
p__Desulfobacterota_D	#DF4608
p__JAJRZV01	#E05408
p__Calescibacterota	#E05908
p__DYJV01	#E05F08
p__Desulfobacterota_G	#E06708
p__JAMCPX01	#E07F08
p__SZUA-79	#E08F08
p__J088	#E09708
p__Pseudomonadota	#E09F08
p__UBA2233	#E0A608
p__Nitrospirota_A	#E0AE08
p__Desulfobacterota_E	#E0B408
p__BMS3Abin14	#E0D908
p__Desulfobacterota_C	#E0DD08
p__Desulfobacterota_F	#E1E008
p__SZUA-182	#E2E308
p__Moduliflexota	#DFE508
p__Methylomirabilota	#CDE608
p__Schekmanbacteria	#C3E608
p__UBA8248	#BBE508
p__JACPUC01	#A9E108
p__JADFOP01	#97DB08
p__JACPSX01	#86D608
p__Tectomicrobia	#7ED308
p__Nitrospinota_B	#76D108
p__Nitrospinota	#67CC08
p__CG2-30-53-67	#5FC908
p__Nitrospirota_B	#55C408
p__CG2-30-70-394	#4BBB08
p__Nitrospirota	#41B108
p__Desulfobacterota	#3CAC08
p__UBA10199	#39A608
p__JACQOV01	#259208
p__JACPQY01	#098A18
p__RBG-13-61-14	#088B25
p__Myxococcota_B	#088C38
p__FEN-1099	#08844B
p__Myxococcota	#088A4F
p__JAGRBM01	#088F4F
p__JADJOY01	#089F50
p__Myxococcota_A	#08A450
p__Desulfobacterota_B	#08A950
p__UBP6	#08AF54
p__SAR324	#08B25B
p__Bdellovibrionota	#08B563
p__Bipolaricaulota	#08B86B
p__Deinococcota	#08BC70
p__Patescibacteria	#08C173
p__4484-113	#08C775
p__UBP15	#08D176
p__UBP7	#08D873
p__Riflebacteria	#08DB72
p__UBP17	#08E074
p__Muirbacteria	#08E385
p__Wallbacteria	#08E593
p__Mcinerneyibacteriota	#08E6A2
p__Fusobacteriota	#08E7B2
p__Synergistota	#08EACA
p__Atribacterota	#08EBD1
p__Thermotogota	#08EDD8
p__DUMJ01	#08EEDF
p__Dictyoglomota	#08EDEC
p__JACIXR01	#08EBEB
p__DRYD01	#08E9E9
p__Thermodesulfobiota	#08E6E6
p__HKB111	#08E3E3
p__Coprothermobacterota	#08DEDE
p__JANLFM01	#08DBDB
p__Caldisericota	#08D8D8
p__Actinomycetota	#08D5D5
p__CSP1-3	#08D1D1
p__Dormibacterota	#08CCCC
p__Chloroflexota	#08C8C8
p__UBP13	#08C5C5
p__Armatimonadota	#08C0C0
p__Eremiobacterota	#08B1B1
p__Bacillota_G	#08ACAC
p__DUMD01	#08A1A7
p__Bacillota_A	#0896A5
p__Bacillota_C	#088CA2
p__Bacillota_B	#08809F
p__Bacillota_D	#08769D
p__Bacillota	#086C98
p__Bacillota_H	#086893
p__SLNR01	#08658B
p__DTU030	#086282
p__Bacillota_F	#08617A
p__Bacillota_E	#086275
p__Cyanobacteriota	#086372
p__Margulisbacteria	#086470
p__UBA6262	#08626D
p__Elusimicrobiota	#085D6B
p__RUG730	#08566A
p__CG03	#084E68
p__JAJYCY01	#084668
p__CAKKQC01	#08366A
p__FCPU426	#082672
p__JAAXVQ01	#08108B
p__Firestonebacteria	#080B93
p__Goldbacteria	#080899
p__Aerophobota	#0808AD
p__CAIJMQ01	#0808B3
